,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
222,485,서울특별시 동대문구 전농1동,3124,5272,1787,2940,4911,8212,37.5763402,127.0562953
223,486,서울특별시 동대문구 전농2동,4433,8902,1621,5746,6054,14648,37.578451,127.0576841
224,487,서울특별시 동대문구 전농동,13811,18761,7614,10211,21425,28972,37.5792622,127.0554405
225,488,서울특별시 동대문구 제기동,15155,14828,9373,9879,24528,24707,37.5833567,127.0367969
226,489,서울특별시 동대문구 청량리동,25661,17350,15282,11244,40943,28594,37.588908,127.0445965
227,490,서울특별시 동대문구 회기동,9820,9991,5397,5710,15217,15701,37.5907275,127.055128
228,491,서울특별시 동대문구 휘경1동,7689,9321,4666,5589,12355,14910,37.5928664,127.0656829
229,492,서울특별시 동대문구 휘경2동,938,2111,492,1293,1430,3404,37.5911446,127.0677097
230,493,서울특별시 동대문구 휘경동,8598,7066,4105,3645,12703,10711,37.5900176,127.0636187
231,494,서울특별시 동작구 노량진1동,8098,14526,3939,8916,12037,23442,37.512235,126.9419742
232,495,서울특별시 동작구 노량진2동,5935,1453,1407,636,7342,2089,37.5085134,126.9372528
233,496,서울특별시 동작구 노량진동,55330,23689,30034,13694,85364,37383,37.5110026,126.9416329
234,497,서울특별시 동작구 대방동,18775,27966,9361,16303,28136,44269,37.5080962,126.9262539
235,498,서울특별시 동작구 동작동,2179,1509,1221,741,3400,2250,37.4998616,126.9742991
236,499,서울특별시 동작구 본동,82,76,32,44,114,120,37.51244210000001,126.9534025
237,500,서울특별시 동작구 사당1동,2759,2289,2104,1462,4863,3751,37.476379,126.9735832
238,501,서울특별시 동작구 사당2동,5587,12511,2279,6462,7866,18973,37.4886556,126.9792213
239,502,서울특별시 동작구 사당3동,1055,4920,355,2523,1410,7443,37.4866557,126.971972
240,503,서울특별시 동작구 사당4동,1648,1987,724,927,2372,2914,37.4809894,126.9715562
241,504,서울특별시 동작구 사당5동,1462,5107,894,2408,2356,7515,37.4857107,126.9667226
242,505,서울특별시 동작구 사당동,28724,22316,15561,12045,44285,34361,37.476379,126.9735832
243,506,서울특별시 동작구 상도1동,14911,22248,8482,13159,23393,35407,37.5027719,126.9504938
244,507,서울특별시 동작구 상도2동,2390,5012,1004,2155,3394,7167,37.5054029,126.9422524
245,508,서울특별시 동작구 상도3동,7522,13625,3111,7507,10633,21132,37.4991534,126.9315036
246,509,서울특별시 동작구 상도4동,2970,13922,1170,8029,4140,21951,37.5004864,126.937725
247,510,서울특별시 동작구 상도동,22109,33478,12722,20636,34831,54114,37.4989895,126.9377193
248,511,서울특별시 동작구 신대방1동,2958,3486,967,2181,3925,5667,37.4889593,126.909978
249,512,서울특별시 동작구 신대방2동,671,2840,491,1702,1162,4542,37.4989034,126.9258932
250,513,서울특별시 동작구 신대방동,22909,17234,12960,9410,35869,26644,37.4915587,126.9166265
251,514,서울특별시 동작구 흑석동,18230,21711,10920,14292,29150,36003,37.5094857,126.9605285
252,515,서울특별시 마포구 공덕동,8285,13145,5175,7520,13460,20665,37.54686969999999,126.9521717
253,516,서울특별시 마포구 대흥동,29922,19275,13721,11317,43643,30592,37.5498977,126.9427769
254,517,서울특별시 마포구 도화동,16038,14624,9409,8474,25447,23098,37.5376491,126.9501677
255,518,서울특별시 마포구 동교동,48503,15004,32155,8167,80658,23171,37.5576862,126.923487
256,519,서울특별시 마포구 망원1동,5139,5324,3104,3208,8243,8532,37.55511810000001,126.9055326
257,520,서울특별시 마포구 망원2동,1455,4034,892,2758,2347,6792,37.5602564,126.9022268
258,521,서울특별시 마포구 망원동,3833,5926,1520,4150,5353,10076,37.5559772,126.9012821
259,522,서울특별시 마포구 상수동,1056,868,793,573,1849,1441,37.5454728,126.9244174
260,523,서울특별시 마포구 상암동,37658,29236,18405,17848,56063,47084,37.5781711,126.894616
